UNITID,INSTNM,ADDR,CITY,STABBR.x,ZIP,SECTOR,ICLEVEL,UGOFFER,GROFFER,HDEGOFR1,DEGGRANT,HBCU,HOSPITAL,MEDICAL,TRIBAL,LOCALE,OPENPUBL,ACT,DEATHYR,CYACTIVE,PSET4FLG,CARNEGIE,LANDGRNT,INSTSIZE,F1SYSTYP,F1SYSNAM,DVADM01,DVADM02,DVADM03,DVADM04,DVADM05,DVADM06,DVADM07,DVADM08,DVADM09,DVADM10,DVADM11,DVADM12,ENRTOT,ENRFT,ENRPT,PCTENRWH,PCTENRBK,PCTENRHS,PCTENRAP,PCTENRAS,PCTENRNH,PCTENRAN,PCTENR2M,PCTENRUN,PCTENRNR,PCTENRW,PCTFT1ST,EFUG,EFUG1ST,EFUGTRN,EFUGCNT,EFUGNDG,PCUENRWH,PCUENRBK,PCUENRHS,PCUENRAP,PCUENRAS,PCUENRNH,PCUENRAN,PCUENR2M,PCUENRUN,PCUENRNR,PCUENRW,EFGRAD,PCGENRWH,PCGENRBK,PCGENRHS,PCGENRAP,PCGENRAS,PCGENRNH,PCGENRAN,PCGENR2M,PCGENRUN,PCGENRNR,PCGENRW,DVEF13,DVEF14,DVEF15,DVEF16,RMINSTTP,RMOUSTTP,RMFRGNCP,RMUNKNWP,PCTDEEXC,PCTDESOM,PCTDENON,PCUDEEXC,PCUDESOM,PCUDENON,PCGDEEXC,PCGDESOM,PCGDENON,GRRTTOT,GRRTM,GRRTW,GRRTAN,GRRTAP,GRRTAS,GRRTNH,GRRTBK,GRRTHS,GRRTWH,GRRT2M,GRRTUN,GRRTNR,TRRTTOT,GBA4RTT,GBA5RTT,GBA6RTT,GBA6RTM,GBA6RTW,GBA6RTAN,GBA6RTAP,GBA6RTAS,GBA6RTNH,GBA6RTBK,GBA6RTHS,GBA6RTWH,GBA6RT2M,GBA6RTUN,GBA6RTNR,GBATRRT,PGGRRTT,PGBA6RT,SSGRRTT,SSBA6RT,NRGRRTT,NRBA6RT,SALTOTL,SALPROF,SALASSC,SALASST,SALINST,SALLECT,SALNRNK,SFTETOTL,SFTEINST,SFTERSRC,SFTEPBSV,SFTELCA,SFTEOTIS,SFTEMNGM,SFTEBFO,SFTECES,SFTECLAM,SFTEHLTH,SFTEOTHR,SFTESRVC,SFTESALE,SFTEOFAS,SFTENRCM,SFTEPTMM,TUFEYR0,TUFEYR1,TUFEYR2,TUFEYR3,CINDON,CINSON,COTSON,CINDOFF,CINSOFF,COTSOFF,CINDFAM,CINSFAM,COTSFAM,GRCOHRT,UGENTERN,PGRCOHRT,RET_PCF,RET_PCP,STUFACR,SCFA1N,SCFA11N,SCFA12N,SCFA13N,SCFA14N,SCFA2,SCFY1N,SCFY2,ANYAIDP,FGRNT_P,FGRNT_A,SGRNT_P,SGRNT_A,IGRNT_P,IGRNT_A,LOAN_P,LOAN_A,UAGRNTT,AGRNT_P,AGRNT_A,PGRNT_P,PGRNT_A,OFGRT_P,OFGRT_A,FLOAN_P,FLOAN_A,OLOAN_P,OLOAN_A,UAGRNTP,UAGRNTA,UPGRNTP,UPGRNTT,UPGRNTA,UFLOANP,UFLOANT,UFLOANA,AGRNT_T,FGRNT_T,PGRNT_T,OFGRT_T,SGRNT_T,IGRNT_T,LOAN_T,FLOAN_T,OLOAN_T,AIDFSIN,AIDFSIP,SCFY11N,SCFY11P,SCFY12N,SCFY12P,SCFY13N,SCFY13P,SCFY14N,SCFY14P,SCUGFFP,GRNTN2,GRNTON2,GRNTWF2,GRNTOF2,GRNTUN2,GRNTT2,GRNTA2,GRN4N2,GRN4ON2,GRN4WF2,GRN4OF2,GRN4UN2,GRN4T2,GRN4A2,GRN4N12,GRN4T12,GRN4A12,GRN4N22,GRN4T22,GRN4A22,GRN4N32,GRN4T32,GRN4A32,GRN4N42,GRN4T42,GRN4A42,GRN4N52,GRN4T52,GRN4A52,NPGRN2,GRN4G2,GRN4G12,GRN4G22,GRN4G32,GRN4G42,GRN4G52,IPEDS_LONGITUDE,IPEDS_LATITUDE,STABBR.y,mean_impervious
198206,Carteret Community College,3505 Arendell St,Morehead City,NC,28557-2989,4,2,1,2,40,1,2,-2,2,2,32,1,A,-2,1,1,40,2,2,1,North Carolina Community College System,,,,,,,,,,,,,966,419,547,78,8,6,2,1,1,1,3,1,1,67,6,966,167,245,532,22,78,8,6,2,1,1,1,3,1,1,67,0,,,,,,,,,,,,0,58,41,0,83,1,0,16,19,41,40,19,41,40,,,,36,34,37,0,20,25,0,0,50,39,0,0,,29,,,,,,,,,,,,,,,,,24,,,,53,,45328,,,,,,45328,239,133,0,0,3,3,21,2,6,8,0,63,22,1,40,0,0,2704,2847,2696,2696,,,,22674,22674,29202,12748,12748,19276,62,414,15,62,41,7,91,0,87,4,0,1536,,,63,62,6505,23,1692,10,647,0,,8560461,63,7116,57,6983,4,288,0,,0,,89,6294,42,3919895,6144,0,0,,405603,364252,363102,1150,35526,5825,0,0,0,57,63,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-76.755538,34.723681,NC,43.63923337
198215,Catawba College,2300 W Innes St,Salisbury,NC,28144,2,1,1,1,20,1,2,2,2,2,22,1,A,-2,1,1,32,2,2,2,-2,52,51,52,21,22,20,21,22,20,0,0,0,1294,1229,65,63,21,7,1,1,0,0,4,1,4,53,26,1289,338,79,866,6,62,21,7,1,1,0,0,4,1,4,53,5,100,0,0,0,0,0,0,0,0,0,80,,,,,71,25,4,0,0,12,88,0,12,88,0,0,100,46,35,60,0,0,0,,31,67,51,0,0,67,31,40,46,46,35,60,0,0,0,,31,67,51,0,0,67,31,39,39,43,43,58,58,62899,75054,71876,55935,40120,,,280,97,0,0,4,14,14,13,15,63,4,56,23,0,26,7,0,28730,29333,29920,30520,45842,45842,45842,44402,44402,44402,35354,35354,35354,338,422,80,71,,12,332,,,,,1322,,,100,45,4718,53,4922,100,19783,67,6269,27710049,100,24538,45,4411,17,912,66,5177,7,10796,95,22133,40,2357838,4407,68,5866546,6482,8122186,703003,652856,50147,871128,6548055,1398008,1138895,259113,331,100,,,,,,,,,25,331,268,54,9,0,8122186,24538,251,202,42,7,0,6157476,24532,67,1769244,26407,49,1277997,26082,45,1152695,25615,39,840910,21562,51,1116630,21895,18609,251,67,49,45,39,51,-80.482751,35.691443,NC,22.43066516
198233,Catawba Valley Community College,2550 Hwy 70 SE,Hickory,NC,28602-0699,4,2,1,2,40,1,2,-2,2,2,13,1,A,-2,1,1,40,2,2,1,North Carolina Community College System,,,,,,,,,,,,,4610,1684,2926,68,7,12,7,7,0,0,2,2,1,56,13,4610,918,194,2003,1495,68,7,12,7,7,0,0,2,2,1,56,0,,,,,,,,,,,,28,50,22,0,98,1,1,0,15,39,46,15,39,46,,,,26,24,29,0,47,49,0,20,23,26,13,50,0,31,,,,,,,,,,,,,,,,,24,,50,,28,,49737,,,,,,49737,537,280,0,0,3,40,49,6,42,30,0,87,10,2,64,11,0,2195,2251,2585,2347,,,,21496,21496,26872,10339,10339,15715,585,1703,34,63,42,13,492,0,486,6,0,4859,,,73,58,7065,28,2062,8,1109,9,5012,31401153,70,6777,57,6941,33,348,8,5080,1,4133,90,7145,36,10275464,5909,9,2700352,6295,2331442,1999322,1943364,55958,286644,45476,210514,198114,12400,357,73,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-81.28792,35.699732,NC,56.76013514
198251,Central Carolina Community College,1105 Kelly Dr,Sanford,NC,27330-9840,4,2,1,2,40,1,2,-2,2,2,32,1,A,-2,1,1,40,2,3,1,North Carolina Community College System,,,,,,,,,,,,,5189,1752,3437,55,17,19,2,1,0,1,3,3,1,63,11,5189,835,335,1963,2056,55,17,19,2,1,0,1,3,3,1,63,0,,,,,,,,,,,,,,,,99,0,0,0,16,37,47,16,37,47,,,,35,42,30,0,50,33,100,28,39,38,29,33,33,16,,,,,,,,,,,,,,,,,30,,,,42,,49642,,,,,,49642,589,218,0,1,8,96,67,7,11,57,1,123,38,0,74,11,0,2412,2544,2544,2544,,,,16389,16389,22533,9737,9737,15881,567,2322,24,64,46,14,493,0,492,1,0,5286,,,75,55,6745,29,1659,12,1291,0,6790,13066973,74,5868,55,6700,3,729,0,,0,6790,43,5719,32,11065699,6445,0,0,,2141866,1828005,1815605,12400,238955,74906,13580,0,13580,365,74,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79.143553,35.471864,NC,16.19139298
198260,Central Piedmont Community College,1201 Elizabeth Avenue,Charlotte,NC,28204,4,2,1,2,40,1,2,-2,2,2,11,1,A,-2,1,1,40,2,4,1,North Carolina Community College System,,,,,,,,,,,,,18824,6781,12043,43,27,13,5,5,0,0,3,3,5,55,7,18824,2454,1415,12196,2759,43,27,13,5,5,0,0,3,3,5,55,0,,,,,,,,,,,,9,60,31,0,90,1,8,0,22,35,43,22,35,43,,,,18,16,20,0,25,23,67,8,20,23,21,30,19,34,,,,,,,,,,,,,,,,,15,,,,21,,54334,,,,,,54334,1729,705,0,0,30,280,171,48,86,133,1,275,37,0,238,0,0,2664,2792,2792,2792,,,,19777,19780,25921,11072,11075,17216,1352,5403,25,55,43,19,1327,0,1254,73,0,19100,,,65,52,4805,18,1494,5,2557,1,5982,37086875,59,4852,52,4778,2,740,0,,1,5982,56,3469,38,25580748,3532,0,0,,3808796,3286399,3267899,18500,351053,171344,107668,0,107668,798,60,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80.829796,35.217774,NC,68.65306122
198303,Chowan University,One University Place,Murfreesboro,NC,27855,2,1,1,1,20,1,2,2,2,2,32,1,A,-2,1,1,32,2,2,2,-2,59,62,57,20,22,18,20,22,18,0,0,0,1399,1356,43,19,65,3,0,0,0,1,2,6,3,51,30,1395,414,81,899,1,18,66,3,0,0,0,1,2,6,3,51,4,50,0,25,0,0,0,0,0,0,25,50,4,92,5,0,57,42,2,0,1,17,83,1,17,83,0,0,100,29,25,32,0,0,0,,26,23,43,17,31,67,48,14,26,29,25,32,0,0,0,,26,23,43,17,31,67,48,27,27,28,28,44,44,63329,72975,65411,58107,48300,,,226,65,0,0,3,30,22,8,6,42,5,45,14,0,18,11,2,23400,23930,24480,24980,37070,37070,37070,37070,37070,37070,27670,27670,27670,414,496,83,55,,16,525,,,,,1498,,,100,80,4974,55,4521,100,11864,90,6859,26551712,100,18296,80,4838,3,3351,90,6469,3,10235,100,17748,74,5359886,4859,87,9782417,7479,9605369,2079270,2022300,56970,1297425,6228674,3244099,3059861,184238,525,100,,,,,,,,,35,525,505,20,0,0,9605369,18296,496,479,17,0,0,9044217,18234,277,5383060,19433,106,2109453,19901,49,847500,17296,41,476602,11624,23,227602,9896,17298,496,277,106,49,41,23,-77.099141,36.436258,NC,16.91216216
198321,Cleveland Community College,137 S Post Rd,Shelby,NC,28152-6224,4,2,1,2,40,1,2,-2,2,2,31,1,A,-2,1,1,40,2,2,1,North Carolina Community College System,,,,,,,,,,,,,2551,961,1590,69,18,5,1,1,0,1,2,3,1,64,5,2551,187,68,1597,699,69,18,5,1,1,0,1,2,3,1,64,0,,,,,,,,,,,,,,,,98,2,0,0,30,33,38,30,33,38,,,,27,27,28,0,25,25,,11,14,33,,20,,26,,,,,,,,,,,,,,,,,22,,,,41,,50575,,,,,,50575,261,155,0,0,6,23,15,8,14,12,0,28,2,0,22,4,0,2398,2526,2526,2552,,,,7152,7152,13296,4452,4452,10596,124,428,29,56,31,11,245,0,245,0,0,2700,,,84,83,4744,31,1359,0,,0,,7546021,84,5158,74,5250,9,361,0,,0,,53,5226,38,5080839,4991,0,0,,1067727,963104,955521,7583,104623,0,0,0,0,207,84,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-81.492856,35.279833,NC,40.68665158
198330,Coastal Carolina Community College,444 Western Blvd,Jacksonville,NC,28546-6816,4,2,1,2,40,1,2,-2,2,2,13,1,A,-2,1,1,40,2,2,1,North Carolina Community College System,,,,,,,,,,,,,3864,1877,1987,62,17,14,5,4,1,1,0,0,1,61,12,3864,691,460,2263,450,62,17,14,5,4,1,1,0,0,1,61,0,,,,,,,,,,,,7,52,41,0,91,9,0,0,11,31,59,11,31,59,,,,25,28,21,0,15,19,0,16,31,27,0,,20,21,,,,,,,,,,,,,,,,,22,,,,28,,46535,,,,,,46535,437,237,0,0,7,23,24,0,16,23,0,107,28,3,69,5,2,2334,2462,2462,2462,,,,19941,19941,26085,9501,9501,15645,457,1405,33,60,39,14,488,0,469,19,0,4030,,,62,51,5022,21,1629,6,1823,1,5188,9373396,62,4849,51,4899,9,963,0,,1,5188,52,4459,46,7811240,4231,0,0,,1474100,1255411,1214959,40452,169461,49228,25942,0,25942,304,62,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.384785,34.771687,NC,44.1299886
198367,Craven Community College,800 College Ct,New Bern,NC,28562-4900,4,2,1,2,40,1,2,-2,2,2,13,1,A,-2,1,1,40,2,2,1,North Carolina Community College System,,,,,,,,,,,,,3003,1038,1965,61,17,8,4,4,0,1,4,4,1,58,6,3003,343,272,1956,432,61,17,8,4,4,0,1,4,4,1,58,0,,,,,,,,,,,,19,48,33,0,94,3,2,0,37,42,21,37,42,21,,,,29,33,26,14,0,0,0,5,31,39,,43,20,24,,,,,,,,,,,,,,,,,27,,,,32,,50899,,,,,,50899,325,143,0,0,1,17,58,12,8,22,0,64,11,0,38,15,0,1927,2053,2114,2023,,,,19136,19136,23744,7292,7292,11900,178,874,20,63,36,14,134,0,134,0,0,3016,,,80,60,4975,19,1549,16,1086,1,8750,5666136,78,4402,60,4960,1,600,0,,1,8750,49,3828,40,4519074,3747,0,0,,462200,398034,396834,1200,40280,23886,17500,0,17500,106,79,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.102232,35.111516,NC,29.32842582
198376,Davidson County Community College,297 DCCC Road,Thomasville,NC,27360-7385,4,2,1,2,40,1,2,-2,2,2,41,1,A,-2,1,1,40,2,2,1,North Carolina Community College System,,,,,,,,,,,,,3654,1446,2208,70,13,10,2,2,0,1,2,2,0,63,9,3654,493,192,1907,1062,70,13,10,2,2,0,1,2,2,0,63,0,,,,,,,,,,,,12,53,35,0,99,0,1,0,18,34,48,18,34,48,,,,32,33,32,0,13,14,0,15,30,36,20,71,,20,,,,,,,,,,,,,,,,,28,,43,,38,,48701,,,,,,48701,384,154,2,0,3,15,69,1,5,26,0,109,29,0,72,8,0,2460,2588,2588,2588,,,,16514,16514,22658,9088,9088,15232,311,1179,26,59,46,16,303,0,288,15,0,3627,,,77,57,5345,22,1850,13,724,15,5515,9255518,70,5132,57,5246,13,431,14,5733,1,2533,49,5197,44,7933458,5024,25,3885856,4299,1082901,930015,912770,17245,123920,28966,242668,235068,7600,226,75,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80.181868,35.865471,NC,22.01362089
198385,Davidson College,405 N. Main Street,Davidson,NC,28035,2,1,1,2,30,1,2,2,2,2,21,1,A,-2,1,1,31,2,2,2,-2,19,20,19,46,48,44,46,48,44,0,0,0,1843,1843,0,67,7,8,5,5,0,0,4,1,7,48,28,1843,515,15,1309,4,67,7,8,5,5,0,0,4,1,7,48,0,,,,,,,,,,,,1,99,0,0,18,73,7,2,0,0,100,0,0,100,,,,90,88,91,100,83,83,,80,85,91,88,100,93,,90,90,90,88,91,100,83,83,,80,85,91,88,100,93,,85,85,81,81,91,91,104185,133098,97463,70916,63000,69918,64651,817,215,0,0,19,22,32,70,48,126,10,275,149,12,81,33,0,46966,48376,49949,51447,68594,68594,68594,,,,,,,515,534,96,95,,9,519,,,,,1810,,,70,17,5763,5,5798,63,38125,20,6370,52814091,63,40113,17,4414,6,4000,20,4786,2,15408,75,39122,17,1368694,4444,23,2431018,5886,13157216,495624,379624,116000,156540,12505052,662443,492952,169491,339,65,,,,,,,,,29,328,328,,,,13157216,40113,169,169,,,,7532188,44569,39,2286444,58627,17,984119,57889,35,1988562,56816,21,977878,46566,57,1295185,22723,26565,160,39,17,35,21,48,-80.843979,35.499767,NC,31.57384442
198419,Duke University,103 Allen Bldg,Durham,NC,27708,2,1,1,1,11,1,2,1,1,2,11,1,A,-2,1,1,15,2,4,2,-2,9,9,9,55,53,56,55,53,56,0,0,0,17048,16135,913,43,7,8,14,14,0,0,3,4,21,50,26,6682,1745,39,4812,86,42,10,9,22,22,0,1,2,4,10,50,10366,43,5,8,9,9,0,0,4,4,28,49,,,,,13,76,8,3,5,1,94,0,0,100,8,2,90,96,94,97,100,96,96,,95,93,97,95,90,91,,87,94,96,94,97,100,96,96,,95,93,97,95,90,91,,98,98,94,94,96,96,147530,201860,126154,100780,56412,59622,,18401,4029,1428,0,190,35,1549,1963,3275,761,1439,3732,1070,53,2066,348,195,49241,51265,53500,55695,74339,74339,74339,,,,,,,1745,1851,94,98,,6,1748,,,,,6696,,,66,16,7182,4,4531,52,50473,25,7502,169917950,52,52681,15,4956,7,5208,21,3917,15,6886,56,45457,14,4385443,4726,20,6508020,4796,48255670,1989446,1333250,656196,285472,45980752,3248578,1410122,1838456,983,56,,,,,,,,,26,916,916,,,,48255670,52681,632,632,,,,30983063,49024,64,4846454,75726,79,5993028,75861,103,7114027,69068,86,4948526,57541,300,8081028,26937,19785,574,64,79,103,85,243,-78.937624,36.001135,NC,44.48866213
198455,Durham Technical Community College,1637 Lawson Street,Durham,NC,27703-5023,4,2,1,2,40,1,2,-2,2,2,11,1,A,-2,1,1,40,2,3,1,North Carolina Community College System,,,,,,,,,,,,,5434,1376,4058,32,37,18,5,5,0,0,3,5,0,62,4,5434,714,771,2637,1312,32,37,18,5,5,0,0,3,5,0,62,0,,,,,,,,,,,,13,41,46,0,99,1,0,0,14,29,57,14,29,57,,,,15,19,9,0,21,21,,6,14,25,0,20,0,25,,,,,,,,,,,,,,,,,11,,0,,21,,42933,,,,60588,,42801,490,262,0,0,9,3,69,7,9,28,1,102,35,2,61,4,0,1840,1840,1958,1958,,,,19050,19050,23658,8178,8178,12786,243,1673,15,58,45,13,235,0,204,31,0,5414,,,83,49,5015,13,1875,63,923,8,5117,9434809,81,4024,49,4944,8,430,8,5117,0,,43,4010,34,7796369,4284,11,4234497,6908,768664,576728,568551,8177,56236,135700,97216,97216,0,194,83,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.8817,35.974768,NC,47.09111361
198464,East Carolina University,East 5th Street,Greenville,NC,27858-4353,1,1,1,1,11,1,2,2,1,2,13,1,A,-2,1,1,16,2,5,1,University of North Carolina,82,81,83,29,32,27,29,31,27,0,0,1,28718,22087,6631,67,16,6,3,3,0,1,4,3,1,59,18,23071,4175,1854,16301,741,66,16,7,3,2,0,1,4,3,1,57,5647,68,15,4,3,3,0,1,2,4,2,66,3,82,15,0,88,11,0,1,24,21,55,16,24,61,57,11,32,65,58,69,50,69,70,25,61,65,66,56,60,53,25,40,61,65,58,69,50,69,70,25,61,65,66,56,60,53,25,59,59,65,65,68,68,77712,103442,80071,73698,66002,,61907,5749,1517,7,303,9,256,200,274,376,295,316,2196,623,3,1245,298,27,6580,6997,7143,7188,21672,21672,37949,21672,21672,37949,18048,18048,34325,4106,6436,64,81,82,18,4312,0,3804,508,0,23265,,,81,38,4802,35,2757,40,3721,66,7407,92154748,50,8500,38,4684,3,1579,65,5609,10,13161,51,7795,35,36993656,4598,55,85602879,6637,18384639,7769002,7579502,189500,4130721,6484916,21214931,15805672,5409259,3328,77,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.368291,35.607186,NC,57.85649718
198491,Edgecombe Community College,2009 W Wilson St,Tarboro,NC,27886,4,2,1,2,40,1,2,-2,2,2,41,1,A,-2,1,1,40,2,2,1,North Carolina Community College System,,,,,,,,,,,,,2012,650,1362,34,55,5,0,0,0,1,1,3,1,77,7,2012,234,109,1204,465,34,55,5,0,0,0,1,1,3,1,77,0,,,,,,,,,,,,,,,,100,0,0,0,40,32,29,40,32,29,,,,16,22,12,0,0,0,,8,25,33,0,0,,34,,,,,,,,,,,,,,,,,10,,0,,52,,54503,,,,,,54503,230,116,0,0,3,14,24,7,6,10,0,50,20,0,30,0,0,2376,2504,2522,2640,,,,13075,13075,19219,6105,6105,12249,139,399,35,71,38,15,138,0,125,0,13,2198,,,93,88,4421,36,1162,38,1855,73,5202,6154689,93,5401,86,4064,37,1085,72,5282,3,622,60,4652,53,5299134,4533,31,4603076,6789,691294,534905,479580,55325,58078,98311,525452,522964,2488,128,93,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.571786,35.879867,NC,16.56285391
198507,Elizabeth City State University,1704 Weeksville Rd,Elizabeth City,NC,27909,1,1,1,1,20,1,1,2,2,2,32,1,A,-2,1,1,32,2,2,1,University of North Carolina,59,54,63,28,33,26,28,33,26,0,0,0,1677,1433,244,17,69,4,1,1,0,0,4,4,0,58,25,1636,418,184,951,83,17,70,4,1,1,0,0,4,3,0,57,41,17,49,0,0,0,0,0,0,34,0,76,6,75,19,0,72,24,0,4,9,28,63,10,27,63,2,39,59,42,31,51,0,,,,45,33,39,,26,,33,21,35,42,31,51,0,,,,45,33,39,,26,,33,42,42,57,57,38,38,68248,81052,72626,65052,,55216,44411,365,102,0,0,3,26,53,26,17,24,3,111,50,2,42,16,1,4657,4889,4986,3194,12960,12960,16960,12568,12568,16568,5044,5044,9044,416,647,64,73,25,16,341,0,312,29,0,1368,,,99,74,5516,86,4859,85,3340,64,4760,10832080,98,11303,74,5133,18,1579,63,4547,2,7257,86,9250,66,4388208,4887,63,5152884,5943,3775361,1384596,1288281,96315,1418948,971817,1033003,982203,50800,338,99,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-76.214041,36.277978,NC,30.13765643
198516,Elon University,100 Campus Drive,Elon,NC,27244-2010,2,1,1,1,13,1,2,2,2,2,22,1,A,-2,1,1,21,2,3,2,-2,72,77,69,22,24,21,22,24,21,0,0,0,6991,6703,288,79,6,6,2,2,0,0,3,1,2,60,27,6196,1698,54,4444,0,80,6,6,2,2,0,0,3,0,2,60,795,71,13,6,2,2,0,1,2,5,1,63,2,97,0,0,17,80,0,2,0,0,100,0,0,100,0,0,100,83,79,85,75,72,75,0,85,86,83,89,67,71,,78,82,83,79,85,75,72,75,0,85,86,83,89,67,71,,79,79,79,79,84,84,83272,109364,82207,77451,52523,68409,,1411,488,0,0,29,100,129,82,62,132,12,377,176,0,129,47,25,32172,33104,34273,35319,51049,51049,51049,51049,51049,51049,38469,38469,38469,1698,1752,97,90,,12,1573,,,,,6045,,,74,10,4983,5,5476,66,13460,34,8566,49147489,66,14528,10,4489,9,615,33,5616,4,24216,56,14442,9,2355578,4370,28,10977885,6531,15167578,782304,691344,90960,427165,13958109,4591149,2920212,1670937,1122,71,,,,,,,,,26,1044,1032,12,0,0,15167578,14528,658,650,8,0,0,9430965,14333,61,1603873,26293,60,1519903,25332,80,1831959,22899,89,1489744,16739,368,2985486,8113,34974,562,60,58,77,88,279,-79.50344,36.104148,NC,42.26417234
198534,Fayetteville Technical Community College,2201 Hull Rd,Fayetteville,NC,28303-0236,4,2,1,2,40,1,2,-2,2,2,12,1,A,-2,1,1,40,2,4,1,North Carolina Community College System,,,,,,,,,,,,,11534,4509,7025,36,37,12,2,2,0,2,5,4,1,59,9,11534,1817,667,7083,1967,36,37,12,2,2,0,2,5,4,1,59,0,,,,,,,,,,,,9,37,53,0,94,6,0,0,40,28,31,40,28,31,,,,20,22,17,6,19,25,0,14,19,26,14,31,0,20,,,,,,,,,,,,,,,,,20,,24,,15,,52456,,,,,,52456,994,475,0,0,3,66,77,7,31,41,0,294,112,6,156,14,6,2394,2528,2528,2544,,,,14863,14863,21007,9085,9085,15229,999,3410,29,55,44,19,1121,0,981,140,0,11660,,,82,67,4964,12,1670,10,1707,54,5606,27153548,73,5093,67,4937,4,610,54,5606,0,,56,4132,44,24684214,4794,39,18598352,4127,4181097,3752639,3727639,25000,232177,196281,3380593,3380593,0,899,80,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.92658,35.068851,NC,50.44983089
198543,Fayetteville State University,1200 Murchison Rd,Fayetteville,NC,28301-4298,1,1,1,1,12,1,1,2,2,2,12,1,A,-2,1,1,21,2,3,1,University of North Carolina,68,64,70,22,26,20,22,25,20,0,1,0,6318,4456,1862,20,58,8,2,2,0,2,3,6,1,67,11,5473,618,947,3350,558,18,59,8,2,2,0,2,3,6,1,68,845,30,50,7,3,3,0,1,1,6,2,63,9,49,41,0,92,4,0,4,33,33,35,28,36,37,65,13,22,35,29,39,38,13,14,0,35,26,46,,38,50,32,16,31,35,29,39,38,13,14,0,35,26,46,,38,50,32,34,34,38,38,40,40,76590,87012,80060,75939,90070,57227,62864,846,293,0,0,10,71,60,33,46,47,5,281,79,1,157,33,11,4885,5085,5183,5249,16802,16802,28410,16802,16802,28410,8175,8175,19783,611,1760,35,69,38,17,662,0,606,56,0,5393,,,94,77,6058,82,2412,84,3483,72,5515,26237579,93,10274,76,5488,39,1176,72,5401,1,7481,66,7345,56,15183325,5021,60,23051870,7172,6318526,3071540,2771665,299875,1317186,1929800,2636103,2576254,59849,621,94,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78.891696,35.073641,NC,37.66176471
198552,Forsyth Technical Community College,2100 Silas Creek Pky,Winston-Salem,NC,27103-5197,4,2,1,2,40,1,2,-2,2,2,12,1,A,-2,1,1,40,2,3,1,North Carolina Community College System,,,,,,,,,,,,,7689,2926,4763,56,22,13,2,2,0,0,3,3,1,60,8,7689,1032,593,4840,1224,56,22,13,2,2,0,0,3,3,1,60,0,,,,,,,,,,,,13,51,36,0,99,1,0,0,18,31,51,18,31,51,,,,19,23,15,20,33,36,0,6,22,23,16,8,36,21,,,,,,,,,,,,,,,,,18,,0,,21,,49940,,,,,,49940,866,513,0,0,3,25,116,10,20,28,0,151,26,0,114,11,0,2025,2056,2143,2199,,,,16450,16450,21466,6158,6158,11174,624,2143,29,61,46,11,770,0,769,1,0,7756,,,77,57,5064,20,1632,0,250,69,5090,16279910,75,4255,57,5032,2,1118,69,5066,0,6299,58,3599,51,13578662,3440,66,31440762,6176,2467982,2213153,2194153,19000,254579,250,2702717,2690119,12598,582,76,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80.272215,36.06854,NC,46.34240363
